task_id,task_name,status,matched_content,matched_hook,missing_requirement,suggested_fix
78,Mind Mithril Ore,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
88,Wield Mining gloves,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
132,String a Shortbow.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
133,String a Longbow.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
136,"String 1,000 Bows.",need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
146,Light a Fire.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
219,Bake a Cake.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
220,Bake a Pie.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
222,Add Toppings to a Pizza.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
254,Check the Health of a Tree.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
259,Cure a Diseased Plant.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
261,Use Super Compost.,need_hook,world interaction,(unwired) world interaction,interaction not wired to league tasks,Implement object/NPC interaction hook or script_manual
262,Use Ultra Compost.,need_hook,world interaction,(unwired) world interaction,interaction not wired to league tasks,Implement object/NPC interaction hook or script_manual
263,Set a Box Trap.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
264,Set a Net Trap.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
274,Successfully Catch a Creature with a Box Trap.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
275,Successfully Catch a Creature with a Net Trap.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
288,Successfully Reset a Failed Trap.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
298,Complete 5 Slayer Tasks.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
299,Complete 25 Slayer Tasks.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
300,Complete 50 Slayer Tasks.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
301,Complete 100 Slayer Tasks.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
302,Complete 250 Slayer Tasks.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
303,Complete 500 Slayer Tasks.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
323,Learn a Slayer Unlock.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
324,Learn 5 Slayer Unlocks.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
327,Receive a Task from a Mid-Level Slayer Master.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
328,Receive a Task from a High-Level Slayer Master.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
329,Receive a Task from the Highest Slayer Master.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
330,Reach a 10 Task Streak.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
331,Reach a 50 Task Streak.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
332,Reach a 100 Task Streak.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
333,Reach a 250 Task Streak.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
334,Use a Slayer Ring.,need_hook,world interaction,(unwired) world interaction,interaction not wired to league tasks,Implement object/NPC interaction hook or script_manual
338,Loot a Rare Drop from a Slayer Creature.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
348,Cut a Sapphire.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
349,Cut an Emerald.,need_hook,,,unclassified mechanic,Assign completion_type and explicit trigger
