task_id,task_name,status,matched_content,matched_hook,missing_requirement,suggested_fix
90,Mine a Shooting Star,need_hook,minigame:Mine a Shooting Star,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
613,Complete the Fight Caves.,need_hook,minigame:Complete the Fight Caves.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
614,Complete the Inferno.,need_hook,minigame:Complete the Inferno.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
615,Complete Chambers of Xeric.,need_hook,minigame:Complete Chambers of Xeric.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
616,Complete Chambers of Xeric Challenge Mode.,need_hook,minigame:Complete Chambers of Xeric Challenge Mode.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
617,Complete Theatre of Blood.,need_hook,minigame:Complete Theatre of Blood.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
618,Complete Theatre of Blood Hard Mode.,need_hook,minigame:Complete Theatre of Blood Hard Mode.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
619,Complete Tombs of Amascut.,need_hook,minigame:Complete Tombs of Amascut.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
620,Complete a 300 Invocation Tombs of Amascut Raid.,need_hook,minigame:Complete a 300 Invocation Tombs of Amascut Raid.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
635,Defeat Tempoross.,need_hook,minigame:Defeat Tempoross.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
636,Defeat Wintertodt.,need_hook,minigame:Defeat Wintertodt.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
729,Use the Brimhaven Agility Arena.,need_hook,minigame:Use the Brimhaven Agility Arena.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
730,Complete a Lap in the Brimhaven Agility Arena.,need_hook,minigame:Complete a Lap in the Brimhaven Agility Arena.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
731,Purchase a Ticket in the Brimhaven Agility Arena.,need_hook,minigame:Purchase a Ticket in the Brimhaven Agility Arena.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
921,Complete a Lap of the Penguin Agility Course.,need_hook,minigame:Complete a Lap of the Penguin Agility Course.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
1385,Subdue the Wintertodt.,need_hook,minigame:Subdue the Wintertodt.,(unwired) minigame completion,minigame completion not wired to league tasks,Call completeLeagueTask from minigame reward script or add minigame validator
